Time,Symbol,Side,Price,Size
2026-08-01 21:49:00,ENJUSDT,BUY,0.02466,61.17
2026-08-01 21:49:00,GRTUSDT,SELL,0.01417,47.49
2026-08-01 21:49:00,JUVUSDT,BUY,0.311,55.05
2026-08-01 21:55:16,JUVUSDT,SELL,0.31,55.05
2026-08-01 21:55:16,ATMUSDT,BUY,1.639,58.11
2026-08-01 21:55:16,CELOUSDT,SELL,0.06285,48.94
2026-08-01 21:55:17,CAKEUSDT,BUY,1.406,45.88
2026-08-01 21:56:33,ATMUSDT,SELL,1.636,58.11
2026-08-01 21:56:33,ACMUSDT,BUY,0.27,45.88
2026-08-01 22:07:36,ACMUSDT,SELL,0.269,45.88
2026-08-01 22:07:36,CFXUSDT,BUY,0.04244,48.94
2026-08-01 22:10:12,ENJUSDT,SELL,0.02466,61.17
2026-08-01 22:10:12,ATOMUSDT,BUY,1.23,55.05
2026-08-01 22:14:33,TKOUSDT,SELL,0.0467,61.17
2026-08-01 22:14:33,SHIBUSDT,BUY,4.86e-06,61.17
2026-08-01 22:15:48,SANDUSDT,SELL,0.04127,52.0
2026-08-01 22:15:48,NMRUSDT,BUY,8.56,45.88
2026-08-01 22:17:03,NMRUSDT,SELL,8.56,45.88
2026-08-01 22:17:03,LUNAUSDT,BUY,0.0412,52.0
2026-08-01 22:20:49,ATOMUSDT,SELL,1.227,55.05
2026-08-01 22:20:49,DOGEUSDT,BUY,0.06914,61.17
2026-08-01 22:23:22,DOGEUSDT,SELL,0.06904,61.17
2026-08-01 22:23:22,OGNUSDT,BUY,0.01519,48.94
2026-08-01 22:23:22,CAKEUSDT,SELL,1.405,45.88
2026-08-01 22:23:22,ACMUSDT,BUY,0.27,45.88
2026-08-01 22:24:37,SHIBUSDT,SELL,4.84e-06,61.17
2026-08-01 22:24:37,XVGUSDT,BUY,0.00193,61.17
2026-08-01 22:29:40,DOTUSDT,SELL,0.78,43.13
2026-08-01 22:29:40,RSRUSDT,BUY,0.001247,55.05
2026-08-01 22:32:11,ACMUSDT,SELL,0.269,45.88
2026-08-01 22:32:11,DEXEUSDT,BUY,2.412,61.17
2026-08-01 22:36:03,RSRUSDT,SELL,0.001246,55.05
2026-08-01 22:36:03,RUNEUSDT,BUY,0.438,58.11
2026-08-01 22:37:19,LUNAUSDT,SELL,0.0412,52.0
2026-08-01 22:37:19,KSMUSDT,BUY,3.2,52.0
2026-08-01 22:42:21,KSMUSDT,SELL,3.19,52.0
2026-08-01 22:42:21,AUDIOUSDT,BUY,0.01213,61.17
2026-08-01 22:42:21,DEXEUSDT,SELL,2.395,61.17
2026-08-01 22:42:21,FLOWUSDT,BUY,0.02879,48.94
2026-08-01 22:46:22,RUNEUSDT,SELL,0.438,58.11
2026-08-01 22:46:22,UNIUSDT,BUY,4.085,61.17
2026-08-01 22:46:22,AUDIOUSDT,SELL,0.01211,61.17
2026-08-01 22:46:22,ROSEUSDT,BUY,0.0056,48.94
2026-08-01 22:46:22,XVGUSDT,SELL,0.00193,61.17
2026-08-01 22:46:22,REQUSDT,BUY,0.0508,52.0
2026-08-01 22:48:22,AVAXUSDT,SELL,6.196,44.93
2026-08-01 22:48:22,AAVEUSDT,BUY,90.68,61.17
2026-08-01 22:48:22,CFXUSDT,SELL,0.04241,48.94
2026-08-01 22:48:22,LPTUSDT,BUY,1.259,55.05
2026-08-01 22:51:04,REQUSDT,SELL,0.0506,52.0
2026-08-01 22:51:04,XECUSDT,BUY,6.71e-06,57.16
2026-08-01 22:52:19,SOLUSDT,SELL,71.93,43.13
2026-08-01 22:52:19,ZENUSDT,BUY,3.978,42.87
2026-08-01 23:01:47,ZENUSDT,SELL,3.972,42.87
2026-08-01 23:01:47,RSRUSDT,BUY,0.001248,45.36
2026-08-01 23:01:47,UNIUSDT,SELL,4.079,61.17
2026-08-01 23:01:47,ATMUSDT,BUY,1.641,56.7
2026-08-01 23:01:47,LPTUSDT,SELL,1.256,55.05
2026-08-01 23:01:47,PHAUSDT,BUY,0.0197,51.03
2026-08-01 23:01:47,XECUSDT,SELL,6.69e-06,57.16
2026-08-01 23:01:47,RADUSDT,BUY,0.203,51.03
2026-08-01 23:09:23,RADUSDT,SELL,0.202,51.03
2026-08-01 23:09:23,LAZIOUSDT,BUY,0.343,43.4
2026-08-01 23:11:53,ATMUSDT,SELL,1.641,56.7
2026-08-01 23:11:53,DODOUSDT,BUY,0.01816,57.86
2026-08-01 23:11:53,LAZIOUSDT,SELL,0.342,43.4
2026-08-01 23:11:53,PORTOUSDT,BUY,0.445,57.86
2026-08-01 23:13:09,PORTOUSDT,SELL,0.443,57.86
2026-08-01 23:13:09,JASMYUSDT,BUY,0.00436,46.29
2026-08-01 23:14:28,RSRUSDT,SELL,0.001246,45.36
2026-08-01 23:14:28,UMAUSDT,BUY,0.338,43.4
2026-08-01 23:16:58,DODOUSDT,SELL,0.01812,57.86
2026-08-01 23:16:58,CFXUSDT,BUY,0.04285,46.29
2026-08-01 23:16:58,PHAUSDT,SELL,0.0197,51.03
2026-08-01 23:16:58,GNOUSDT,BUY,103.06,54.97
2026-08-01 23:19:28,OGNUSDT,SELL,0.01523,48.94
2026-08-01 23:19:28,MBLUSDT,BUY,0.000658,46.29
2026-08-01 23:20:42,AAVEUSDT,SELL,90.5,61.17
2026-08-01 23:20:42,JUVUSDT,BUY,0.311,54.97
2026-08-01 23:20:42,FLOWUSDT,SELL,0.02875,48.94
2026-08-01 23:20:42,DYDXUSDT,BUY,0.11406,57.86
2026-08-01 23:21:57,UMAUSDT,SELL,0.338,43.4
2026-08-01 23:21:57,NEARUSDT,BUY,1.672,54.97
2026-08-01 23:21:57,GNOUSDT,SELL,103.06,54.97
2026-08-01 23:21:57,RADUSDT,BUY,0.202,43.4
2026-08-01 23:23:11,NEARUSDT,SELL,1.67,54.97
2026-08-01 23:23:11,JUVUSDT,SELL,0.31,54.97
2026-08-01 23:23:11,PSGUSDT,BUY,0.49,54.97
2026-08-01 23:23:11,TWTUSDT,BUY,0.3753,57.86
2026-08-01 23:23:11,RADUSDT,SELL,0.202,43.4
2026-08-01 23:23:11,LAZIOUSDT,BUY,0.345,49.18
2026-08-01 23:26:55,JASMYUSDT,SELL,0.00436,46.29
2026-08-01 23:26:55,PYRUSDT,BUY,0.072,43.4
2026-08-01 23:28:09,PSGUSDT,SELL,0.489,54.97
2026-08-01 23:28:09,DODOUSDT,BUY,0.01817,46.29
2026-08-01 23:28:09,PYRUSDT,SELL,0.072,43.4
2026-08-01 23:28:09,API3USDT,BUY,0.1914,43.4
2026-08-01 23:29:24,MBLUSDT,SELL,0.000657,46.29
2026-08-01 23:29:24,SCUSDT,BUY,0.0005,52.08
2026-08-01 23:29:24,ROSEUSDT,SELL,0.00561,48.94
2026-08-01 23:29:24,CAKEUSDT,BUY,1.409,43.4
2026-08-01 23:29:24,API3USDT,SELL,0.1914,43.4
2026-08-01 23:29:24,PROMUSDT,BUY,1.959,43.4
2026-08-01 23:31:52,PROMUSDT,SELL,1.945,43.4
2026-08-01 23:31:52,ARBUSDT,BUY,0.0789,49.18
2026-08-01 23:33:06,CAKEUSDT,SELL,1.408,43.4
2026-08-01 23:33:06,ACMUSDT,BUY,0.271,52.08
2026-08-01 23:36:50,ACMUSDT,SELL,0.269,52.08
2026-08-01 23:36:50,TLMUSDT,BUY,0.001635,49.18
2026-08-01 23:38:04,DODOUSDT,SELL,0.01812,46.29
2026-08-01 23:38:05,ACMUSDT,BUY,0.271,57.86
2026-08-01 23:38:05,LAZIOUSDT,SELL,0.344,49.18
2026-08-01 23:38:05,ADXUSDT,BUY,0.0559,52.08
2026-08-01 23:39:19,CFXUSDT,SELL,0.04281,46.29
2026-08-01 23:39:19,GTCUSDT,BUY,0.07634,49.18
2026-08-01 23:40:34,TWTUSDT,SELL,0.3749,57.86
2026-08-01 23:40:34,TLMUSDT,SELL,0.001626,49.18
2026-08-01 23:40:34,ICPUSDT,BUY,2.023,57.86
2026-08-01 23:40:34,C98USDT,BUY,0.01171,52.08
2026-08-01 23:41:49,ACMUSDT,SELL,0.269,57.86
2026-08-01 23:41:49,QNTUSDT,BUY,61.23,49.18
2026-08-01 23:43:03,ADXUSDT,SELL,0.0558,52.08
2026-08-01 23:43:03,CITYUSDT,BUY,0.362,49.18
2026-08-01 23:44:18,ICPUSDT,SELL,2.022,57.86
2026-08-01 23:44:18,REQUSDT,BUY,0.0508,54.97
2026-08-01 23:46:46,REQUSDT,SELL,0.0506,54.97
2026-08-01 23:46:46,RADUSDT,BUY,0.203,54.97
2026-08-01 23:48:01,GTCUSDT,SELL,0.07618,49.18
2026-08-01 23:48:01,DYDXUSDT,SELL,0.11396,57.86
2026-08-01 23:48:01,LAZIOUSDT,BUY,0.348,57.86
2026-08-01 23:48:01,QIUSDT,BUY,0.001257,46.29
2026-08-01 23:48:01,ARBUSDT,SELL,0.0788,49.18
2026-08-01 23:48:01,WBTCUSDT,BUY,62856.04,54.97
